,class,setup,setup
0,Class AsyncAppenderTestCase,@@,
1,Class NullPointerAppender,@@,
2,Class Greeter,@@,
3,Class BlockableVectorAppender,@@,
4,Class CategoryTest,@@,
5,Class MockCategory,@@,
6,Class CoreTestSuite,@@,
7,Class XLogger,@@,
8,Class XFactory,@@,
9,Class XLoggerTestCase,@@,
10,Class TestCase1,@@,
11,Class TestCase2,@@,
12,Class TestCase3,@@,
13,Class TestCase4,@@,
14,Class DefaultThrowableRendererTest,@@,
15,Class DRFATestCase,@@,
16,Class EnhancedMyPatternLayout,@@,
17,Class EnhancedPatternLayoutTest,@@,
18,Class DerivedPatternLayout,@@,
19,Class EnhancedPatternLayoutTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Logger][=][Logger][.][Get, Logger][(][Enhanced, Pattern, Layout, Test][.][Class][)][;]@@",root logger get root logger logger logger get logger enhanced pattern layout test
20,Class EnhancedThrowableRendererTest,@@,
21,Class FileAppenderTest,@@,
22,Class BoundedFIFOTestCase,@@,
23,Class CyclicBufferTestCase,@@,
24,Class DateLayoutTest,@@,
25,Class MockLayout,@@,
26,Class LogLogTest,@@,
27,Class OptionConverterTestCase,"[Props][=][New][Properties][(][)][;][Props][.][Put][(]["", Toto""][,][""wonderful""][)][;][Props][.][Put][(][""key1""][,][""value1""][)][;][Props][.][Put][(][""key2""][,][""value2""][)][;][Props][.][Put][(][""line.separator""][,][System][.][Get, Property][(][""line.separator""][)][)][;][Props][.][Put][(][""java.home""][,][System][.][Get, Property][(][""java.home""][)][)][;][System][.][Set, Properties][(][Props][)][;]@@",props properties props put toto wonderful props put key value props put key value props put line separator system get property line separator props put java home system get property java home system set properties props
28,Class PatternParserTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Root][.][Remove, All, Appenders][(][)][;]@@",root logger get root logger root remove all appenders
29,Class UtilLoggingLevelTest,@@,
30,Class HierarchyThresholdTestCase,@@,
31,Class HTMLLayoutTest,@@,
32,Class ProblemLevel,@@,
33,Class Last,@@,
34,Class LayoutTest,@@,
35,Class MockLayout,@@,
36,Class LevelTest,@@,
37,Class CustomLevel,@@,
38,Class LogCapture,@@,
39,Class LoggerTestCase,"[Rb, Us][=][Resource, Bundle][.][Get, Bundle][(]["", L7, D""][,][New][Locale][(][""en""][,]["", Us""][)][)][;][Assert, Not, Null][(][Rb, Us][)][;][Rb, Fr][=][Resource, Bundle][.][Get, Bundle][(]["", L7, D""][,][New][Locale][(][""fr""][,]["", Fr""][)][)][;][Assert, Not, Null][(]["", Got a null resource bundle.""][,][Rb, Fr][)][;][Rb, Ch][=][Resource, Bundle][.][Get, Bundle][(]["", L7, D""][,][New][Locale][(][""fr""][,]["", Ch""][)][)][;][Assert, Not, Null][(]["", Got a null resource bundle.""][,][Rb, Ch][)][;]@@",rb us resource bundle get bundle l d locale en us not null rb us rb fr resource bundle get bundle l d locale fr fr not null got a null resource bundle rb fr rb ch resource bundle get bundle l d locale fr ch not null got a null resource bundle rb ch
40,Class CountingHierarchyEventListener,@@,
41,Class CountingAppender,@@,
42,Class LogManagerTest,@@,
43,Class MDCOrderFilter,@@,
44,Class MDCTestCase,[Mdc][.][Clear][(][)][;]@@,mdc clear
45,Class MinimumTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Root][.][Remove, All, Appenders][(][)][;]@@",root logger get root logger root remove all appenders
46,Class MyPatternLayout,@@,
47,Class MyPatternParser,@@,
48,Class UserDirPatternConverter,@@,
49,Class ShortSocketServer,@@,
50,Class SMTPAppenderTest,@@,
51,Class MockTriggeringEventEvaluator,@@,
52,Class SocketAppenderTest,"[Dom, Configurator][.][Configure][(][""input/xml/, Socket, Appender, Test, Config.xml""][)][;][Logger][=][Logger][.][Get, Logger][(][Socket, Appender, Test][.][Class][)][;][Secondary][=][(][Last, Only, Appender][)][Logger][.][Get, Logger][(][""org.apache.log4j.net., Socket, Appender, Test, Dummy""][)][.][Get, Appender][(][""last, Only""][)][;]@@",dom configurator configure input xml socket appender test config xml logger logger get logger socket appender test secondary last only appender logger get logger org apache log j net socket appender test dummy get appender last only
53,Class LastOnlyAppender,@@,
54,Class SocketServerTestCase,"[System][.][Out][.][Println][(]["", Setting up test case.""][)][;]@@",system out println setting up test
55,Class SyslogAppenderTest,@@,
56,Class MishandledException,@@,
57,Class TelnetAppenderTest,@@,
58,Class ReadThread,@@,
59,Class NTEventLogAppenderTest,@@,
60,Class ORTestCase,"[Aor][=][New][Ut, Object, Renderer][(]["", A""][)][;][Bor][=][New][Ut, Object, Renderer][(]["", B""][)][;][Xor][=][New][Ut, Object, Renderer][(]["", X""][)][;][Yor][=][New][Ut, Object, Renderer][(]["", Y""][)][;][Oor][=][New][Ut, Object, Renderer][(]["", Object""][)][;][Nor][=][New][Ut, Object, Renderer][(]["", Number""][)][;][Ior][=][New][Ut, Object, Renderer][(]["", Integer""][)][;][Cor][=][New][Ut, Object, Renderer][(]["", Comparable""][)][;][Sor][=][New][Ut, Object, Renderer][(]["", Serializable""][)][;]@@",aor ut object renderer a bor ut object renderer b xor ut object renderer x yor ut object renderer y oor ut object renderer object nor ut object renderer number ior ut object renderer integer cor ut object renderer comparable sor ut object renderer serializable
61,Class UTObjectRenderer,@@,
62,Class A,@@,
63,Class B,@@,
64,Class CachedDateFormatTest,@@,
65,Class FormattingInfoTest,@@,
66,Class NameAbbreviatorTest,@@,
67,Class Num343PatternConverter,@@,
68,Class PatternParserTest,@@,
69,Class PatternLayoutTest,@@,
70,Class DerivedPatternLayout,@@,
71,Class PatternLayoutTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Logger][=][Logger][.][Get, Logger][(][Pattern, Layout, Test, Case][.][Class][)][;]@@",root logger get root logger logger logger get logger pattern layout test
72,Class PriorityTest,@@,
73,Class PropertyConfiguratorTest,@@,
74,Class RollingPolicy,@@,
75,Class FixedWindowRollingPolicy,@@,
76,Class TriggeringPolicy,@@,
77,Class FilterBasedTriggeringPolicy,@@,
78,Class RollingFileAppender,@@,
79,Class MockThrowableRenderer,@@,
80,Class RewriteAppenderTest,"[Log, Manager][.][Get, Logger, Repository][(][)][.][Reset, Configuration][(][)][;][Hashtable][Context][=][Mdc][.][Get, Context][(][)][If][(][Context][!=][Null][)][{][Context][.][Clear][(][)][;][}][Context][.][Clear][(][)][;]@@",log manager get logger repository reset configuration hashtable context mdc get context context null context clear context clear
81,Class BaseBean,@@,
82,Class MessageBean,@@,
83,Class RFATestCase,@@,
84,Class LocationInfoTest,@@,
85,Class NameSubstring,@@,
86,Class NameSubstringCaller,@@,
87,Class LoggingEventTest,@@,
88,Class BadMessage,@@,
89,Class ThrowableInformationTest,@@,
90,Class OverriddenThrowable,@@,
91,Class NotOverriddenThrowable,@@,
92,Class NullThrowable,@@,
93,Class EmptyThrowable,@@,
94,Class StringThrowable,@@,
95,Class NastyThrowable,@@,
96,Class StressCategory,@@,
97,Class CT,@@,
98,Class TestLogMF,@@,
99,Class TestLogSF,@@,
100,Class TestLogXF,@@,
101,Class BadStringifier,@@,
102,Class TTCCLayoutTest,@@,
103,Class AbsoluteDateAndTimeFilter,@@,
104,Class AbsoluteTimeFilter,@@,
105,Class Compare,@@,
106,Class ControlFilter,@@,
107,Class EnhancedJunitTestRunnerFilter,@@,
108,Class EnhancedLineNumberFilter,@@,
109,Class ISO8601Filter,@@,
110,Class JunitTestRunnerFilter,@@,
111,Class LineNumberFilter,@@,
112,Class RelativeTimeFilter,@@,
113,Class SerializationTestHelper,@@,
114,Class SunReflectFilter,@@,
115,Class Transformer,@@,
116,Class UnexpectedFormatException,@@,
117,Class XMLLineAttributeFilter,@@,
118,Class XMLTimestampFilter,@@,
119,Class ERFATestCase,@@,
120,Class ErrorHandlerTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Logger][=][Logger][.][Get, Logger][(][""test""][)][;]@@",root logger get root logger logger logger get logger test
121,Class LevelMatchFilterTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Root][.][Remove, All, Appenders][(][)][;]@@",root logger get root logger root remove all appenders
122,Class VectorAppender,@@,
123,Class VectorErrorHandler,@@,
124,Class CustomLevelTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Logger][=][Logger][.][Get, Logger][(][Custom, Level, Test, Case][.][Class][)][;]@@",root logger get root logger logger logger get logger custom level test
125,Class DOMTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Logger][=][Logger][.][Get, Logger][(][Dom, Test, Case][.][Class][)][;]@@",root logger get root logger logger logger get logger dom test
126,Class CustomLogger,@@,
127,Class CustomLoggerFactory,@@,
128,Class CustomErrorHandler,@@,
129,Class MockThrowableRenderer,@@,
130,Class XLevel,@@,
131,Class XMLLayoutTest,"[Ndc][.][Clear][(][)][;][If][(][Mdc][.][Get, Context][(][)][!=][Null][)][{][Mdc][.][Get, Context][(][)][.][Clear][(][)][;][}][Mdc][.][Get, Context][(][)][.][Clear][(][)][;]@@",ndc clear mdc get context null mdc get context clear mdc get context clear
132,Class ProblemLevel,@@,
133,Class XMLLayoutTestCase,"[Root][=][Logger][.][Get, Root, Logger][(][)][;][Root][.][Set, Level][(][Level][.][Trace][)][;][Logger][=][Logger][.][Get, Logger][(][Xml, Layout, Test, Case][.][Class][)][;][Logger][.][Set, Level][(][Level][.][Trace][)][;]@@",root logger get root logger root set level level trace logger logger get logger xml layout test logger set level level trace
134,Class X,@@,
